      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size         P         R     mAP50   mAP50-95   
    148/300       1.8G      0.563     0.9953      1.789         13        608    0.6822    0.7447    0.7662    0.5708
    149/300       1.8G     0.5561     0.9955      1.779         28        608    0.6914    0.7446    0.7773    0.5787
    150/300       1.8G      0.568     0.9921      1.799         12        608    0.6911    0.7484    0.7794    0.5808
    151/300       1.8G     0.5571     0.9902      1.789         18        608    0.6952    0.7398    0.7777    0.5784
    152/300       1.8G     0.5539     0.9774      1.775          7        608    0.6819     0.727    0.7583    0.5645
    153/300       1.8G     0.5515     0.9749       1.77         12        608    0.6956    0.7344    0.7755    0.5793
    154/300       1.8G     0.5547     0.9804      1.771         15        608    0.6885    0.7414    0.7748    0.5771
    155/300       1.8G     0.5603     0.9884      1.785          3        608     0.689    0.7397    0.7782    0.5805
    156/300       1.8G     0.5604     0.9917      1.779         17        608    0.7067    0.7239     0.778    0.5798
    157/300       1.8G      0.561     0.9804      1.778         11        608    0.6884    0.7445    0.7778    0.5807
    158/300       1.8G     0.5458     0.9595      1.743         12        608    0.6897     0.743    0.7775    0.5798
    159/300       1.8G     0.5493     0.9757      1.764          6        608    0.6924    0.7468    0.7805     0.582
    160/300       1.8G      0.555     0.9859      1.774         17        608    0.6968    0.7462     0.783    0.5855
    161/300       1.8G     0.5473     0.9818      1.764          3        608    0.6882    0.7492    0.7769    0.5794
    162/300       1.8G     0.5545     0.9689      1.764          3        608    0.6981    0.7308    0.7735    0.5784
    163/300       1.8G      0.554     0.9725      1.776          5        608    0.6809    0.7496    0.7747    0.5782
    164/300       1.8G     0.5618     0.9767      1.762          9        608    0.6928    0.7358    0.7725    0.5745
    165/300       1.8G     0.5446     0.9741      1.757          3        608    0.6931    0.7365     0.775    0.5779
    166/300       1.8G     0.5537      0.986      1.772         15        608    0.6899    0.7484    0.7798    0.5808
    167/300       1.8G     0.5504      0.975      1.754          4        608       0.7      0.74    0.7785    0.5827
    168/300       1.8G     0.5402     0.9646      1.751         16        608    0.6864    0.7527    0.7783    0.5793
    169/300       1.8G     0.5621     0.9689       1.77         11        608    0.6897    0.7507    0.7808    0.5829
    170/300       1.8G     0.5481     0.9645      1.765         10        608    0.6926    0.7449    0.7808     0.583
    171/300       1.8G     0.5386     0.9657      1.737         10        608    0.6871    0.7566    0.7846    0.5876
    172/300       1.8G     0.5572     0.9763      1.777          8        608    0.7113    0.7336    0.7813     0.585
    173/300       1.8G      0.556     0.9809      1.773          4        608     0.694    0.7439    0.7742    0.5796
    174/300       1.8G     0.5462       0.97      1.746         15        608    0.7069    0.7488    0.7858    0.5899
    175/300       1.8G     0.5438     0.9604      1.751          2        608    0.7011    0.7432    0.7804    0.5846
    176/300       1.8G     0.5456        inf      1.745          0        608    0.6994    0.7426    0.7787    0.5824
    177/300       1.8G     0.5515     0.9732      1.757          5        608    0.7006    0.7443    0.7819    0.5849
    178/300       1.8G     0.5556     0.9645       1.76         11        608    0.6946    0.7503     0.782    0.5857
    179/300       1.8G     0.5391     0.9511      1.744          3        608    0.7095    0.7441    0.7862     0.589
    180/300       1.8G     0.5458     0.9668       1.76          7        608    0.7106     0.739    0.7858    0.5887
    181/300       1.8G     0.5503     0.9692      1.762          4        608    0.7156    0.7383    0.7884    0.5927
    182/300       1.8G      0.546     0.9677       1.76         11        608    0.7053    0.7518    0.7918     0.595
    183/300       1.8G      0.541     0.9651      1.732         11        608    0.6977    0.7525    0.7908    0.5942
    184/300       1.8G     0.5474     0.9625      1.748         12        608    0.7081    0.7413    0.7873    0.5899
    185/300       1.8G     0.5444     0.9486      1.746         15        608    0.7012    0.7447    0.7855    0.5896
    186/300       1.8G     0.5525     0.9697      1.747         19        608    0.6918    0.7505    0.7809    0.5851
    187/300       1.8G     0.5417     0.9545      1.758          7        608    0.7005    0.7489    0.7825    0.5862
    188/300       1.8G      0.543      0.965      1.753          8        608    0.7032    0.7439     0.786    0.5925
    189/300       1.8G     0.5497     0.9661       1.76          9        608    0.6957    0.7508    0.7837    0.5874
    190/300       1.8G     0.5468     0.9536      1.743          6        608    0.6991    0.7446    0.7806    0.5852
    191/300       1.8G     0.5328     0.9579      1.732         17        608    0.7154    0.7428     0.791    0.5926
    192/300       1.8G     0.5477     0.9718      1.751         15        608    0.7079    0.7461    0.7875    0.5916
    193/300       1.8G     0.5483     0.9669      1.751          2        608    0.6992    0.7472    0.7844    0.5891
    194/300       1.8G     0.5366     0.9506      1.733         12        608    0.7069    0.7467    0.7889    0.5929
    195/300       1.8G     0.5423       0.97      1.747         22        608    0.7081    0.7421    0.7859    0.5908
    196/300       1.8G     0.5419     0.9663      1.745          4        608    0.7015    0.7456     0.783     0.588
    197/300       1.8G     0.5468     0.9486      1.746          9        608    0.7047    0.7447    0.7896    0.5925
    198/300       1.8G      0.537     0.9482       1.74         15        608    0.7163    0.7474    0.7936    0.5962
    199/300       1.8G      0.545     0.9521      1.734          5        608    0.7056    0.7523     0.789    0.5901
    200/300       1.8G     0.5436     0.9494      1.744          6        608    0.7013    0.7558    0.7883    0.5926
    201/300       1.8G     0.5465     0.9601      1.744          9        608    0.7019    0.7479    0.7864    0.5913
    202/300       1.8G     0.5452     0.9678      1.742         31        608      0.71    0.7415     0.788    0.5907
    203/300       1.8G     0.5491     0.9603       1.77          5        608    0.7006    0.7463    0.7845    0.5885
    204/300       1.8G     0.5415     0.9408      1.734         13        608    0.6892     0.762    0.7883     0.592
    205/300       1.8G     0.5419     0.9628      1.736         17        608    0.6922    0.7566    0.7823    0.5874
    206/300       1.8G      0.547     0.9616       1.75          7        608    0.6991     0.756    0.7899     0.595
    207/300       1.8G     0.5359     0.9403      1.733          5        608    0.7018    0.7475    0.7882    0.5913
    208/300       1.8G     0.5325     0.9329       1.72          4        608     0.696    0.7576    0.7878    0.5924
    209/300       1.8G     0.5398     0.9286       1.73          4        608    0.6992    0.7592    0.7937    0.5976
    210/300       1.8G     0.5508      0.948      1.746         25        608    0.7042    0.7541    0.7908    0.5963
    211/300       1.8G      0.536     0.9388      1.736         14        608    0.7028    0.7582    0.7911    0.5955
    212/300       1.8G     0.5396     0.9442      1.737          5        608    0.6968     0.763    0.7912    0.5968
    213/300       1.8G     0.5332      0.928       1.73          7        608    0.6939    0.7641    0.7905    0.5966
    214/300       1.8G     0.5331     0.9384      1.732         26        608    0.6899    0.7643    0.7915    0.5965
    215/300       1.8G     0.5342     0.9338      1.717         13        608    0.6983     0.758    0.7902    0.5949
    216/300       1.8G     0.5381     0.9434      1.732          8        608    0.6935    0.7629    0.7924    0.5967
    217/300       1.8G     0.5411     0.9402      1.732          7        608    0.7054    0.7605    0.7944    0.5985
    218/300       1.8G     0.5457     0.9535      1.735          2        608     0.717    0.7431    0.7938    0.5978
    219/300       1.8G     0.5386     0.9474      1.721          3        608    0.7078    0.7494     0.794    0.5986
    220/300       1.8G     0.5531     0.9556       1.75          7        608    0.7095    0.7453    0.7923    0.5975
    221/300       1.8G     0.5246     0.9292      1.719          9        608    0.7083    0.7485     0.794    0.5996
    222/300       1.8G     0.5365     0.9381      1.727          6        608    0.7103     0.749    0.7928    0.5986
    223/300       1.8G     0.5453     0.9518      1.744         10        608    0.7104    0.7541    0.7947    0.5992
